98,minecraft:stonebrick,Stone Bricks D B
99,minecraft:brown_mushroom_block,Huge Brown Mushroom D
100,minecraft:red_mushroom_block,Huge Red Mushroom D
101,minecraft:iron_bars,Iron Bars
102,minecraft:glass_pane,Glass Pane
103,minecraft:melon_block,Melon
104,minecraft:pumpkin_stem,Pumpkin Stem D
105,minecraft:melon_stem,Melon Stem D
106,minecraft:vine,Vines D
107,minecraft:fence_gate,Fence Gate D
108,minecraft:brick_stairs,Brick Stairs D
109,minecraft:stone_brick_stairs,Stone Brick Stairs D
110,minecraft:mycelium,Mycelium
111,minecraft:waterlily,Lily Pad
112,minecraft:nether_brick,Nether Brick
113,minecraft:nether_brick_fence,Nether Brick Fence
114,minecraft:nether_brick_stairs,Nether Brick Stairs D
115,minecraft:nether_wart,Nether Wart D I
116,minecraft:enchanting_table,Enchantment Table T
117,minecraft:brewing_stand,Brewing Stand D T I
118,minecraft:cauldron,Cauldron D I
119,minecraft:end_portal,End Portal T
120,minecraft:end_portal_frame,End Portal Block D
121,minecraft:end_stone,End Stone
122,minecraft:dragon_egg,Dragon Egg
123,minecraft:redstone_lamp,Redstone Lamp (inactive)
124,minecraft:lit_redstone_lamp,Redstone Lamp (active)
125,minecraft:double_wooden_slab,Wooden Double Slab D B
126,minecraft:wooden_slab,Wooden Slab D B
127,minecraft:cocoa,Cocoa D I
128,minecraft:sandstone_stairs,Sandstone Stairs D
129,minecraft:emerald_ore,Emerald Ore
130,minecraft:ender_chest,Ender Chest D T
131,minecraft:tripwire_hook,Tripwire Hook D
132,minecraft:tripwire,Tripwire D I
133,minecraft:emerald_block,Block of Emerald
134,minecraft:spruce_stairs,Spruce Wood Stairs D
135,minecraft:birch_stairs,Birch Wood Stairs D
136,minecraft:jungle_stairs,Jungle Wood Stairs D
137,minecraft:command_block,Command Block T
138,minecraft:beacon,Beacon T
139,minecraft:cobblestone_wall,Cobblestone Wall D B
140,minecraft:flower_pot,Flower Pot D I
141,minecraft:carrots,Carrots D I
142,minecraft:potatoes,Potatoes D I
143,minecraft:wooden_button,Wooden Button D
144,minecraft:skull,Mob Head D T I
145,minecraft:anvil,Anvil D B
146,minecraft:trapped_chest,Trapped Chest D T
147,minecraft:light_weighted_pressure_plate,Weighted Pressure Plate (Light) D
148,minecraft:heavy_weighted_pressure_plate,Weighted Pressure Plate (Heavy) D
149,minecraft:unpowered_comparator,Redstone Comparator (inactive & active) D I
150,,(unused)
151,minecraft:daylight_detector,Daylight Sensor T
152,minecraft:redstone_block,Block of Redstone
153,minecraft:quartz_ore,Nether Quartz Ore
154,minecraft:hopper,Hopper D T
155,minecraft:quartz_block,Block of Quartz D B
156,minecraft:quartz_stairs,Quartz Stairs D
157,minecraft:activator_rail,Activator Rail D
158,minecraft:dropper,Dropper D T
159,minecraft:stained_hardened_clay,Stained Clay D B
160,minecraft:stained_glass_pane,Stained Glass Pane D
161,minecraft:leaves2,Leaves (Acacia/Dark Oak) D B
162,minecraft:log2,Wood (Acacia/Dark Oak) D B
163,minecraft:acacia_stairs,Acacia Wood Stairs D
164,minecraft:dark_oak_stairs,Dark Oak Wood Stairs D
170,minecraft:hay_block,Hay Block D
171,minecraft:carpet,Carpet D B
172,minecraft:hardened_clay,Hardened Clay
173,minecraft:coal_block,Block of Coal
174,minecraft:packed_ice,Packed Ice
175,minecraft:double_plant,Large Flowers D B
